assembly	type	method	token	native_address	linux_counterpart	managed_metadata_evidence	native_evidence	status	confidence	notes	completed_commit
StardewValley	StardewValley.Mobile.AStarPath	get_nodes	0x0600665E	0x101fae350	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarPath.cs	native-aot/pseudocode/mobile-core/c/0600665e__SDV_StardewValley_Mobile_AStarPath_get_nodes_0600665e.c	verified	high	Direct _nodeList load.	46f602a33edf8fd6f6dea2d7cdda67d88e43ed1e
StardewValley	StardewValley.Mobile.AStarPath	set_nodes	0x0600665F	0x101fae374	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarPath.cs	native-aot/pseudocode/mobile-core/c/0600665f__SDV_StardewValley_Mobile_AStarPath_set_nodes_0600665f.c	verified	high	Direct _nodeList store plus GC barrier.	46f602a33edf8fd6f6dea2d7cdda67d88e43ed1e
StardewValley	StardewValley.Mobile.AStarPath	get_length	0x06006660	0x101fae3b4	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarPath.cs	native-aot/pseudocode/mobile-core/c/06006660__SDV_StardewValley_Mobile_AStarPath_get_length_06006660.c	verified	high	Direct _length load.	46f602a33edf8fd6f6dea2d7cdda67d88e43ed1e
StardewValley	StardewValley.Mobile.AStarPath	Bake	0x06006661	0x101fae3d8	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarPath.cs	native-aot/pseudocode/mobile-core/c/06006661__SDV_StardewValley_Mobile_AStarPath_Bake_06006661.c	verified	high	Accumulates each in-path neighbour edge once using squared coordinate distance.	46f602a33edf8fd6f6dea2d7cdda67d88e43ed1e
StardewValley	StardewValley.Mobile.AStarPath	Distance	0x06006662	0x101fae6e8	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarPath.cs	native-aot/pseudocode/mobile-core/c/06006662__SDV_StardewValley_Mobile_AStarPath_Distance_06006662.c	verified	high	Squared Euclidean dx*dx + dy*dy; no sqrt.	46f602a33edf8fd6f6dea2d7cdda67d88e43ed1e
StardewValley	StardewValley.Mobile.AStarPath	ToString	0x06006663	0x101fae714	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarPath.cs	native-aot/pseudocode/mobile-core/c/06006663__SDV_StardewValley_Mobile_AStarPath_ToString_06006663.c	triaged	medium	Exact AOT-managed string literals remain unresolved; deliberately not emitted.	
StardewValley	StardewValley.Mobile.AStarPath	containsClosedGate	0x06006664	0x101faea0c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarPath.cs	native-aot/pseudocode/mobile-core/c/06006664__SDV_StardewValley_Mobile_AStarPath_containsClosedGate_06006664.c	verified	high	First node satisfying isGate() && !isGateOpen(), else null.	46f602a33edf8fd6f6dea2d7cdda67d88e43ed1e
StardewValley	StardewValley.Mobile.AStarPath	ContainsGate	0x06006665	0x101faec1c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarPath.cs	native-aot/pseudocode/mobile-core/c/06006665__SDV_StardewValley_Mobile_AStarPath_ContainsGate_06006665.c	verified	high	First node satisfying isGate(), else null.	46f602a33edf8fd6f6dea2d7cdda67d88e43ed1e
StardewValley	StardewValley.Mobile.AStarPath	.ctor	0x06006666	0x101faedbc	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarPath.cs	native-aot/pseudocode/mobile-core/c/06006666__SDV_StardewValley_Mobile_AStarPath_ctor_06006666.c	verified	high	Initializes _nodeList.	46f602a33edf8fd6f6dea2d7cdda67d88e43ed1e
StardewValley	StardewValley.Mobile.AStarNode	get_fCost	0x0600661E	0x101fa7620	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600661e__SDV_StardewValley_Mobile_AStarNode_get_fCost_0600661e.c	verified	high	Direct float field load at +0x28.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	set_fCost	0x0600661F	0x101fa7644	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/0600661f__SDV_StardewValley_Mobile_AStarNode_set_fCost_0600661f.c	verified	high	Direct float field store at +0x28.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	get_gCost	0x06006620	0x101fa7668	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006620__SDV_StardewValley_Mobile_AStarNode_get_gCost_06006620.c	verified	high	Direct float field load at +0x2c.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
StardewValley	StardewValley.Mobile.AStarNode	set_gCost	0x06006621	0x101fa768c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarNode.cs	native-aot/pseudocode/mobile-core/c/06006621__SDV_StardewValley_Mobile_AStarNode_set_gCost_06006621.c	verified	high	Direct float field store at +0x2c.	d86bd8859b8e7238552e88fc5371f609f4a6bab2
